ID;Nom;Penom;Campus;Promotion;Annee_Scolaire;Credit_ECTS;Absences;Entreprise_Partenaire;Status;Cursus;Date_CDI;Concurrent_de_Supinfo;Mobilite
297628;Thompson;Berniece;STRASBOURG;BSC;2018;200;16;Gislason S.A.S.;CONTRAT PRO;Stoppé;;Ensimag;Velo
228713;Parker;Jamal;RENNE;MSC2;2018;325;35;Schamberger SAS;CONTRAT PRO;Stoppé;;ETNA;Bus
156613;Kemmer;Ruben;LA REUNION;ASC2;2018;139;0;Hartmann S.A.;STAGIAIRE;Stoppé;;42;Voiture
216869;Rolfson;Carmen;NICE;ASC2;2018;119;30;Blanda;STAGIAIRE;Terminé;;;Train
237087;Grimes;Orie;LILLE;MSC1;2018;249;46;Carter;CONTRAT PRO;Stoppé;;Digital Campus;Train
175615;Hegmann;Brent;RENNE;MSC2;2018;301;45;Crist Labadie SAS;CONTRAT PRO;Stoppé;;Ensimag;Train
204254;Paucek;Steve;LILLE;ASC1;2018;33;37;Baumbach SARL;STAGIAIRE;Terminé;;;Bus
293954;VonRueden;Oda;PARIS;MSC1;2018;197;12;Wehner;CONTRAT PRO;Terminé;;;Train
267644;Lemke;Manley;NANTES;BSC;2018;198;25;Kuvalis;STAGIAIRE;Terminé;;;Bus
231756;Pagac;Mayra;NICE;ASC2;2018;82;40;Collier et Fils;STAGIAIRE;Terminé;;;Velo
191505;Moore;Lavern;LILLE;ASC2;2018;112;40;Purdy;STAGIAIRE;Terminé;;;Bus
174826;Lynch;Keira;NANTES;MSC2;2018;310;33;Kutch;CONTRAT PRO;Terminé;12/11/2020;;Train
263925;Anderson;Catherine;RENNE;BSC;2018;204;22;Goodwin et Fils;STAGIAIRE;Terminé;;;Bus
299300;Pfeffer;Braden;BORDEAUX;BSC;2018;145;43;Balistreri;STAGIAIRE;Stoppé;;42;Voiture
224026;Bergstrom;Dominic;NICE;ASC2;2018;79;34;Sawayn Fisher S.A.S.;STAGIAIRE;Terminé;;;Velo
291232;Armstrong;Edmond;RENNE;ASC1;2018;57;22;Eichmann Waters S.A.R.L.;STAGIAIRE;Terminé;;;Bus
